NO,ASET,Kejadian (Ancaman),Penyebab (Kerawanan),Sistem Pengendalian,Kemungkinan,Nilai Dampak,Nilai Risiko,Keputusan Penanganan,Level Risiko,PIC,Target Waktu,Catatan
1,Data Nasabah (PII),Kebocoran data nasabah oleh pihak eksternal,Kontrol akses lemah & hak akses berlebih (excessive privilege),"Terapkan RBAC, MFA, review akses berkala, DLP & monitoring anomali.",3,5,15,Reduce (Mitigasi),Extreme,CISO,90 hari,
2,Data Transaksi Perbankan,Manipulasi/penyalahgunaan integritas transaksi (fraud),Validasi transaksi dan kontrol rekonsiliasi belum memadai,"Penerapan kontrol dual-authorization, deteksi anomali, rekonsiliasi harian.",3,5,15,Reduce,Extreme,Head of Operations,90 hari,
3,Laporan Keuangan Internal,Kebocoran oleh orang dalam (insider leak),Belum ada DLP/labeling; kurangnya enkripsi at-rest/in-transit,"Klasifikasi informasi, enkripsi, DLP, logging akses & SoD.",3,4,12,Reduce,High,Compliance Lead,120 hari,
4,Kunci Kriptografi & Sertifikat,Kompromi kunci/sertifikat,Manajemen kunci tidak tertib; rotasi & proteksi HSM belum optimal,"Implementasi HSM, rotasi kunci, pinning sertifikat, audit kunci.",3,5,15,Reduce,Extreme,Crypto Security Lead,90 hari,
5,Log Sistem / SIEM,Penghapusan/rekayasa log untuk menutupi jejak,Tidak ada WORM/immutability; SoD kurang,"Write-once storage, central logging, akses terbatas, alert tampering.",3,4,12,Reduce,High,SOC Manager,60 hari,
6,Core Banking Application,Eksploitasi RCE/kerentanan kritis aplikasi,Komponen tidak dipatch; validation & hardening lemah,"Patch management ketat, SAST/DAST, hardening, WAF, RTO/RPO.",3,5,15,Reduce,Extreme,AppSec Lead,60 hari,
7,Aplikasi Mobile Banking,Pencurian kredensial melalui malware/phishing,"MFA lemah, proteksi API tidak memadai","MFA kuat, anti-tamper, rate limiting, device binding, RASP.",4,4,16,Reduce,Extreme,Mobile Lead,90 hari,
8,Internet Banking (Web),Serangan web (XSS/SQLi/SSRF),Validasi input & sanitasi tidak konsisten; CSP tidak ketat,"Secure coding, pentest berkala, WAF rule ketat, CSP, patching cepat.",3,5,15,Reduce,Extreme,Web AppSec Lead,60 hari,
9,Database Server (Oracle/MySQL),Eskalasi hak akses/akses ilegal,"Default accounts, parameter insecure, auditing minim","Hardening, disable default, TDE, auditing & least privilege.",3,4,12,Reduce,High,DBA Lead,60 hari,
10,Middleware/ESB,Intersepsi/perusakan pesan antar layanan,TLS/sertifikat lemah; tidak ada mTLS/rotasi cert,"mTLS, rotasi sertifikat, message signing, monitoring anomali.",2,4,8,Reduce,Medium,Integration Lead,120 hari,
11,Server Fisik Core Banking,Kegagalan perangkat keras/kerusakan,Perangkat menua; redundansi terbatas,"Cluster/HA, spare parts, monitoring kesehatan, DR drill.",2,5,10,Reduce,High,Infrastructure Lead,120 hari,
12,Firewall Perimeter,Salah konfigurasi membuka celah,Change control kurang ketat; rule bloat,"Policy-as-code, review rule berkala, baseline hardening.",3,4,12,Reduce,High,Network Security Lead,60 hari,
13,Switch/Router Inti,Gangguan jaringan/DoS internal,Single point of failure; belum ada redundancy lintasan,"Redundancy, STP/ECMP, QoS, monitoring SNMP/NetFlow.",3,4,12,Reduce,High,Network Lead,90 hari,
14,Terminal ATM,Skimming/tampering fisik,Proteksi fisik & inspeksi belum memadai,"Anti-skimmer, inspeksi rutin, CCTV, alarm tamper.",3,4,12,Reduce,High,ATM Operations Lead,60 hari,
15,Storage/SAN & Backup,Ransomware terhadap backup,Backup terhubung jaringan; belum immutable/offline,"Immutability, air-gap/offline backup, 3-2-1, test restore.",3,5,15,Reduce,Extreme,Backup/DR Lead,60 hari,
16,Kebijakan Keamanan Informasi,Kebijakan usang/tidak lengkap,Tidak ada review tahunan & ratifikasi,"Review & update kebijakan, sosialisasi, persetujuan manajemen.",3,3,9,Reduce,Medium,Compliance Lead,60 hari,
17,SOP Operasional Kritis,Penyimpangan proses/kelalaian,"SOP tidak jelas, kurang training","Standardisasi SOP, pelatihan, audit kepatuhan proses.",3,3,9,Reduce,Medium,Head of Operations,90 hari,
18,SDM Kritis (Admin TI),Ancaman orang dalam (insider),"Privilege berlebih, monitoring minim","PAM, SoD, logging aktivitas, review akses berkala.",3,5,15,Reduce,Extreme,CISO,60 hari,
19,Kontrak Vendor Outsourcing,Pelanggaran keamanan pada pihak ketiga,Klausul keamanan/SLA tidak kuat; kurang pemantauan vendor,"Perkuat klausul keamanan & indemnity, due diligence & monitoring.",3,4,12,Transfer,High,Vendor Management Lead,120 hari,
20,Dokumen Fisik Sensitif,Pencurian/kehilangan dokumen,Penyimpanan fisik kurang aman; akses tidak tercatat,"Arsip aman, kontrol akses, log pengambilan, penghancuran aman.",2,3,6,Reduce,Medium,Facilities & Compliance,60 hari,
